stopid,mbtaid,data_attributes_name,data_attributes_latitude,data_attributes_longitude,route1,route43,sl4,sl5,outbound
1,64,Dudley Square,42.329544,-71.083982,1,0,0,0,1
2,1,Washington St opp Ruggles St,42.330957,-71.082754,1,0,0,0,1
3,2,Washington St @ Melnea Cass Blvd,42.332324,-71.081252,1,0,0,0,1
4,6,Melnea Cass Blvd @ Harrison Ave,42.332016,-71.079576,1,0,0,0,1
5,10003,Albany St opp Randall St,42.331591,-71.076237,1,0,0,0,1
6,57,Massachusetts Ave @ Albany St,42.333825,-71.073541,1,0,0,0,1
7,58,Massachusetts Ave @ Harrison Ave,42.334948,-71.074931,1,0,0,0,1
8,10590,Massachusetts Ave @ Washington St,42.336621,-71.076956,1,0,0,0,1
9,87,Massachusetts Ave @ Tremont St,42.339459,-71.080362,1,0,0,0,1
10,88,Massachusetts Ave @ Columbus Ave,42.340606,-71.081617,1,0,0,0,1
11,188,Massachusetts Ave @ Massachusetts Ave Station,42.34157,-71.083092,1,0,0,0,1
12,89,Massachusetts Ave @ St Botolph St,42.342303,-71.084121,1,0,0,0,1
13,91,Massachusetts Ave @ Clearway St,42.345331,-71.086739,1,0,0,0,1
14,93,Massachusetts Ave @ Newbury St,42.348005,-71.088033,1,0,0,0,1
15,95,Massachusetts Ave @ Beacon St,42.350773,-71.089334,1,0,0,0,1
16,97,77 Massachusetts Ave,42.359183,-71.093543,1,0,0,0,1
17,57,Massachusetts Ave @ Albany St,42.360758,-71.095722,1,0,0,0,1
18,101,Massachusetts Ave @ Sidney St,42.362988,-71.099486,1,0,0,0,1
19,102,Massachusetts Ave @ Prospect St,42.365291,-71.103404,1,0,0,0,1
20,104,Massachusetts Ave @ Bigelow St,42.366837,-71.106017,1,0,0,0,1
21,106,Massachusetts Ave @ Hancock St,42.36839,-71.108618,1,0,0,0,1
22,107,Massachusetts Ave @ Dana St,42.369265,-71.110773,1,0,0,0,1
23,108,Massachusetts Ave @ Trowbridge St,42.37027,-71.112998,1,0,0,0,1
24,109,Massachusetts Ave @ Bow St,42.372099,-71.115371,1,0,0,0,1
